"uniqueId","createTimeISO","text"
"ahmadwahyudin2374","2025-01-04T07:46:35.000Z","itu kan karna efek di awal kurang jelas ya?"
"tambara.malino","2025-01-05T22:43:05.000Z","tidak becus... gimana caranya balikin dana konsumen... mmg mau pusing... kmdn pajak 12℅ untuk barang mewah??? lalu PnBbm yg slama ini sdh berlaku gimana? di double"
"user7518638004822","2025-01-04T07:18:26.000Z","regulasi di buat yg jelaslah ..merugikan masyarakat menengah kebawah"
"doanritonga633","2025-01-04T13:39:58.000Z","di bohongi .. mau pula😂😂😂"
".dsbhn","2025-01-04T07:06:48.000Z","toko ritelnya apa ?sebutin dong"
"sammy_reviewmobil","2025-01-04T13:24:49.000Z","kena prank prabowo 😂"
"kelormerahh","2025-01-04T15:41:49.000Z","janji manis janji palsu beda tipis😂🤣"
"edbud","2025-01-05T19:37:20.000Z","Nahkan,… siapa yg mau di pegang statement nya? Rakyat makin bingung karena diperas… 😏😏"
"user5963810085747","2025-01-06T04:06:33.000Z","lucu pengembalian dana...caranya aja blom tau🤪🤪"
"meidikasaman","2025-01-05T17:53:34.000Z","mari rakyat indonesia stop belanja ditoko retail di seluruh indonesia karena ppn 12 % sdh berlaku & sangat membebani konsumen"
"gobang.burung","2025-01-06T05:52:49.000Z","msh Mao aja di kibulin"
"__aaruul__","2025-01-04T13:07:47.000Z","makanya, kalo buat kebijakan jangan dadakan. bikin kebijakan udah lama, tapi diatur ulang H-1"
"davi_permana","2025-01-04T12:42:14.000Z","😂hayoloh yg ngeyel ppn barang bukan mewah, jadinya siapa"
"worthlessboaz","2025-01-04T12:40:09.000Z","Dikembalikan di akherat"
"wily212","2025-01-04T09:53:46.000Z","akhir kebijakan pemerintah menimbulkan polemik di masyarakat, kapan kebijakan yang klian buat ngk menimbulkan gaduh sih"
"anwar.proda","2025-01-06T02:14:20.000Z","kyk ngimpi kmblikan ke konsumen,msh dipelajari dulu bt mekanisme pengembaliannya,mkn odading sj dulu."
"dwibrando","2025-01-05T16:00:31.000Z","KAN SUDAH DI BILANG INI SEMUA OMON OMON..... MASIH GAK PAHAM
😂😂😂😂😂"
"tigapuluhjuli2","2025-01-04T11:58:08.000Z","pemerintah ceroboh kali ini, berita masih simpang siur udh diumumin🙏 jadi gini kan"
"......halooooooo","2025-01-04T11:16:57.000Z","makanya buat peraturan yang jelas ,jangan bikin yang di lapangan pusing"
"gunawan61818","2025-01-06T01:33:40.000Z","DOBOL"
"arisdolber","2025-01-04T11:07:21.000Z","Barang mewah tu cuma pemanis doang alias cuma omon omon"
"aiss3155","2025-01-04T10:57:48.000Z","@gerindra gmna nih pemimpin lu omon2🤣"
"munib_hardiyanto208","2025-01-04T10:57:01.000Z","kita aja yang gak sadar kalau sedang di bohongi🔥🔥🔥"
"utun55550","2025-01-04T10:54:26.000Z","memangnya mau nyari satu2; konsumen yg belanja, 😂 yang untuk ritel dong untung berlipat, pinter teori prakteknya Nol besar 🤪"
"rp198448","2025-01-06T01:39:15.000Z","ngeri"
"penikm4t_sore","2025-01-04T16:03:22.000Z","aji mumpung😂😅
reptil emang"
"bgiwan41","2025-01-05T23:37:09.000Z","org tolol aj tau, kalo yg atas naik pasti yg dibawah ikut naik..sudah jadi hukum alam"
"flx168","2025-01-06T09:38:28.000Z","Dibohongin lagi, di bohongin lage 😂😂😂"
"smile45299","2025-01-06T01:21:47.000Z","dirjen brani melawan presiden macan asia 🙂"
"candramartyn","2025-01-06T00:54:09.000Z","ruwet"
"kasiyono.parfum","2025-01-06T00:04:06.000Z","Coba negara tegas tdk taat aturan atau undang cabut ijinnya atau segel toko atau swalayannya beres... jgn terlalu bertele tele rajyat sdh muak hanya koar2 jd berita. tindakan nol"
